nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,segundo
0.276414812,0.730417132,0.085168481,0.99997139,0.265926093,0.743218303,0.099751994,0.999941826,0.265981197,0.744588077,0.099644236,0.999899745,0.265997887,0.746208072,0.099569179,0.999958873,0.265908003,0.747799873,0.060214709,0.999974012,0.266074687,0.752350807,0.060204592,0.999958515,0.266321123,0.757904351,0.060068898,0.999974012,0.273643464,0.776438653,0.166972131,0.999949813,0.274610102,0.789656878,-0.008791743,0.999970317,0.291341752,0.733734488,0.113414161,0.999911547,0.290806711,0.740546465,0.062651448,0.999971509,0.35970211,0.768415749,0.269938976,0.999675989,0.345056802,0.8148489,-0.141915902,0.999980927,0.47390455,0.788643539,0.326896936,0.022761621,0.448332697,0.85924089,-0.253364146,0.960215628,0.557721853,0.803280532,0.302937001,0.050776646,0.548265994,0.867620051,-0.305644214,0.920453072,0.580026209,0.810030043,0.305387825,0.060433816,0.576078832,0.880759001,-0.342402369,0.876951098,0.582150102,0.814731479,0.278134942,0.061927684,0.580864727,0.872438908,-0.330503464,0.865525723,0.572594643,0.812303007,0.288734585,0.06796857,0.571531117,0.864490867,-0.300737053,0.844270527,0.556062341,0.767036378,0.132564276,0.999954343,0.549953341,0.80448097,-0.132655993,0.999943018,0.649116397,0.512997806,0.079542987,0.204546109,0.647157431,0.545382798,-0.164571941,0.961587012,0.682024002,0.776984215,0.245043144,0.292834818,0.696125448,0.822356343,-0.017168274,0.98703289,0.673939466,0.822520554,0.260276914,0.443626344,0.680307627,0.855410874,0.001076814,0.983559072,0.759613156,0.843226731,0.256864637,0.45956111,0.766669035,0.865379512,0.00665682,0.985579014,0.0
0.278758645,0.739764392,0.120681286,0.99999088,0.267262667,0.754737079,0.132995784,0.999980271,0.267413884,0.756057739,0.132898137,0.999972105,0.267613381,0.757557631,0.132821709,0.999982595,0.266960502,0.7601915,0.102246426,0.999991655,0.266926944,0.765521884,0.102283992,0.999991059,0.267039329,0.771201491,0.102250926,0.999993145,0.274970084,0.785248816,0.194633305,0.999978662,0.274107456,0.799109876,0.056200277,0.999993622,0.293646187,0.742267609,0.14724797,0.99996233,0.293390602,0.747365594,0.107049368,0.999988735,0.351313382,0.778063536,0.274565578,0.999877572,0.329434484,0.815117002,-0.054608308,0.999997973,0.464318752,0.809310317,0.313846529,0.252784312,0.434278369,0.858046055,-0.129208758,0.979931772,0.559380233,0.817895055,0.326107949,0.328834116,0.539005458,0.859189153,-0.207610503,0.974065065,0.588881373,0.822326899,0.337528676,0.290158123,0.571510196,0.874612391,-0.237769455,0.948687971,0.595300078,0.831214547,0.310532004,0.282227069,0.578783274,0.866412699,-0.230315045,0.941715419,0.582030237,0.825917721,0.314340502,0.268611133,0.568329871,0.856437147,-0.203661144,0.925915658,0.532407284,0.691115022,0.111110561,0.999972999,0.523764133,0.713433802,-0.110988565,0.99998498,0.663935006,0.494502753,0.076707199,0.495319963,0.681166708,0.505701303,-0.190819204,0.992732465,0.687655032,0.77506423,0.170953751,0.716335416,0.690192103,0.808672786,-0.052770358,0.990482092,0.674871325,0.821337044,0.179556683,0.77316612,0.675302625,0.849066556,-0.034453768,0.987378836,0.754348099,0.838241279,0.190791503,0.797542214,0.763802111,0.864972532,-0.001133733,0.986168027,1.0
0.279902846,0.740168571,0.211936235,0.999971151,0.269378781,0.755229831,0.226567924,0.999923408,0.269675136,0.756137371,0.226467907,0.999895811,0.270029545,0.757169783,0.226350203,0.999934018,0.268737167,0.761556983,0.196399048,0.999967337,0.268647134,0.766802669,0.196370542,0.999966741,0.268687874,0.772317231,0.196287915,0.999974728,0.277288973,0.782221735,0.293248475,0.999897361,0.275331467,0.80000782,0.157784179,0.999971688,0.294664174,0.742419183,0.239628553,0.999844134,0.294012576,0.748731613,0.20059666,0.999959052,0.352610707,0.77187407,0.353295505,0.999722958,0.328222752,0.816451848,0.028063353,0.999996126,0.467674166,0.799365103,0.367858261,0.142552391,0.433559567,0.856783032,-0.089114986,0.981089056,0.562348247,0.81510663,0.34528169,0.236643389,0.543199658,0.86343807,-0.203780413,0.97563374,0.59410274,0.81800133,0.350134909,0.221964002,0.576121509,0.880785108,-0.23645395,0.954418123,0.597754121,0.825710177,0.321622491,0.216181114,0.581507623,0.868703961,-0.229834571,0.947900295,0.583155811,0.822595775,0.332277715,0.20716311,0.570696235,0.857771277,-0.200634271,0.933654785,0.523141146,0.670214295,0.113194101,0.999933004,0.516335905,0.692225039,-0.113123581,0.999959111,0.668401778,0.496569604,0.075666301,0.440964073,0.682808816,0.510510147,-0.194676563,0.987592518,0.687782645,0.76765281,0.17299512,0.638940871,0.693689644,0.811444461,-0.076707475,0.990166962,0.675626993,0.813388646,0.181558177,0.717357814,0.68001014,0.848396838,-0.060985666,0.985800147,0.754618645,0.833210826,0.18213895,0.746326327,0.767155647,0.869175851,-0.034950543,0.98675102,2.0
0.274021238,0.736750662,0.062594727,0.999935091,0.263355702,0.752820969,0.075408883,0.999830842,0.263560712,0.75436008,0.075293332,0.99977392,0.263837814,0.756059349,0.075205155,0.999862313,0.263369262,0.758087635,0.036418077,0.999922156,0.263582349,0.763252199,0.036391735,0.999918342,0.263840556,0.768594623,0.036241729,0.999937773,0.272499293,0.783352137,0.147512779,0.999784827,0.271665305,0.796725214,-0.027077548,0.999922633,0.290034145,0.739631534,0.093726985,0.999653041,0.289557308,0.74608916,0.042945709,0.999901235,0.351026654,0.7700122,0.269362956,0.999450624,0.333839923,0.818493247,-0.163019866,0.99998939,0.464740664,0.783853531,0.341176718,0.072292469,0.440746725,0.862112999,-0.295835823,0.980875373,0.549239874,0.774809062,0.313165933,0.168664619,0.551427722,0.8585549,-0.390163898,0.978007436,0.584064305,0.785216868,0.321885765,0.177222192,0.586742699,0.877082825,-0.435304731,0.963094115,0.583581865,0.781447232,0.285048097,0.175481588,0.59332484,0.866789162,-0.422715962,0.959146976,0.567408144,0.782784104,0.296364039,0.171880886,0.580495954,0.85626024,-0.384664506,0.944853961,0.554816425,0.75315249,0.134812117,0.999868453,0.551900208,0.794398785,-0.134776607,0.999902606,0.641005397,0.502686858,0.09114936,0.425203115,0.647311747,0.53192085,-0.185110509,0.979489386,0.679503977,0.769410551,0.24676989,0.579183817,0.691495538,0.808007598,-0.031185959,0.989534676,0.670362294,0.813353539,0.260502487,0.694308519,0.681382358,0.852920353,-0.01383974,0.984023929,0.751326561,0.826577961,0.252999663,0.720789433,0.768343389,0.855572999,-0.020797515,0.988547742,3.0
0.275197595,0.737639129,0.059793759,0.999965906,0.264005244,0.752408385,0.071417361,0.999914289,0.264286488,0.753565609,0.071298003,0.999891162,0.264615536,0.754854918,0.0712118,0.999924898,0.263903171,0.758344948,0.03497434,0.999960899,0.264134765,0.76371944,0.034967192,0.99996227,0.264385968,0.769161582,0.034842934,0.999970555,0.273183793,0.781614959,0.135888979,0.999896288,0.271762788,0.796855211,-0.025416005,0.999971151,0.291603535,0.740015805,0.088288404,0.999806523,0.291089356,0.746639252,0.0412529,0.999950588,0.351533473,0.768191159,0.260155827,0.999571204,0.333070129,0.820844769,-0.157328621,0.999995112,0.465126902,0.789409041,0.335120142,0.12098825,0.437972665,0.864304006,-0.27823621,0.984779239,0.546689153,0.775002778,0.33361569,0.186021298,0.551252902,0.863785923,-0.368628502,0.982135475,0.582113206,0.778958917,0.348305315,0.180586591,0.587005496,0.882552683,-0.409926385,0.967272937,0.582057834,0.777548671,0.311793447,0.175375,0.592167795,0.86864686,-0.397867322,0.963453293,0.568490267,0.779627681,0.317678601,0.170188785,0.58120954,0.860161483,-0.363409162,0.951004982,0.554168046,0.739418745,0.131318778,0.999879837,0.551287651,0.787783086,-0.131229043,0.999928594,0.641326249,0.502715766,0.095129967,0.498676509,0.653931975,0.535653412,-0.168806091,0.99048841,0.680146873,0.764145732,0.218497589,0.682414412,0.690501213,0.810278475,-0.055199515,0.991739273,0.670458972,0.804149926,0.22867474,0.757952332,0.680037677,0.858718872,-0.04252797,0.98749274,0.750662506,0.808173001,0.223138005,0.796305001,0.767899811,0.86198014,-0.056688316,0.990417361,4.0
