nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,segundo
0.225328803,0.336740971,0.035107128,0.999998927,0.205809116,0.353925884,0.046889164,0.999998689,0.205061704,0.355943054,0.046707287,0.999997735,0.204090625,0.358663231,0.046461411,0.999998689,0.204586625,0.364434183,0.011196726,0.999999523,0.203080535,0.374106526,0.011150893,0.999999404,0.201543286,0.385403454,0.011077208,0.999999523,0.205235273,0.413290501,0.152736634,0.999999642,0.205478817,0.441215038,-0.010844911,0.999999642,0.245427221,0.350902319,0.077221766,0.999997497,0.246140271,0.364431411,0.029526312,0.999999166,0.336002529,0.422725141,0.265178919,0.999825418,0.280709922,0.548695028,-0.095715545,0.999993682,0.409014225,0.45056504,0.591418207,0.100567609,0.277115583,0.768699884,-0.337943822,0.993126988,0.431118488,0.385178685,0.889329731,0.06335669,0.293857992,0.957911015,-0.586488545,0.983831406,0.442625463,0.370181113,0.946977019,0.065840863,0.296427697,1.030644894,-0.609200597,0.973832667,0.435092986,0.375822544,0.922366738,0.065126374,0.302590102,1.021937132,-0.628530204,0.974762797,0.4312796,0.386101395,0.886505961,0.071567833,0.313127458,0.986837268,-0.598663032,0.978262782,0.641402483,0.496056288,0.133091405,0.999896646,0.631528437,0.579921365,-0.132998973,0.99995327,0.831541657,0.138338894,0.075476378,0.43975094,0.834443271,0.158415526,-0.177891806,0.96470201,0.9338938,0.569351673,0.135132208,0.453176171,0.963751614,0.626745701,-0.072211057,0.982857347,0.916381538,0.670142174,0.138039425,0.609157085,0.939659476,0.72129637,-0.053459179,0.982987285,1.032477021,0.66007024,0.124467075,0.543152034,1.063800931,0.69400537,-0.02972194,0.976250589,0.0
0.212462217,0.332468927,0.104757369,0.999989212,0.192814738,0.354108274,0.116294369,0.999986112,0.192835271,0.357202142,0.116010189,0.99998039,0.192487985,0.360934138,0.115615606,0.999987662,0.191068634,0.361457825,0.082733534,0.999993742,0.190057442,0.369558156,0.082722262,0.999993324,0.188766092,0.379113168,0.082575157,0.999995232,0.200017929,0.406541228,0.212552711,0.999996245,0.195967332,0.432812929,0.056691926,0.99999553,0.233925015,0.34661743,0.143189952,0.999970257,0.233075052,0.356597304,0.097652175,0.999988854,0.333669603,0.415563911,0.31626904,0.999600112,0.262466371,0.544393063,-0.031279005,0.999983072,0.399774611,0.425979018,0.658495605,0.065739281,0.28530556,0.740590394,-0.314764589,0.985416055,0.454388142,0.377289414,0.973701596,0.043853097,0.295777053,0.944409788,-0.648646593,0.986608624,0.471172333,0.370180964,1.033666253,0.050501242,0.302245468,1.025667787,-0.685419559,0.980032146,0.46043855,0.384254277,1.007047892,0.051735129,0.302886456,1.01925683,-0.702206969,0.980987906,0.454075426,0.392314017,0.970354915,0.05454414,0.310917556,0.972995758,-0.662074864,0.981971741,0.62537396,0.490896404,0.122464761,0.999409378,0.612453401,0.563647389,-0.122414134,0.999798119,0.828875542,0.144684508,0.072501659,0.645166099,0.842095077,0.172995239,-0.205892354,0.979533494,0.932014942,0.558432043,0.119877413,0.513414919,0.96337682,0.627958775,-0.164512932,0.973934054,0.923284173,0.663872421,0.119318485,0.542376041,0.945149779,0.723486006,-0.153857276,0.962331355,1.027172327,0.603244841,0.103886649,0.523633957,1.081572175,0.733685136,-0.146044508,0.954310179,1.0
0.207845777,0.353743076,0.105181813,0.999988735,0.190191567,0.375680447,0.119599715,0.99998349,0.19017151,0.378578186,0.119320668,0.999978125,0.19010067,0.38188231,0.118884958,0.999985456,0.188824102,0.382880688,0.083572909,0.999992967,0.187838852,0.391225338,0.083465338,0.999993443,0.186586753,0.401001781,0.083293147,0.999995112,0.196706638,0.425991446,0.229260877,0.999995351,0.193436995,0.457691878,0.060542554,0.999995828,0.230527356,0.367282957,0.148777187,0.999967754,0.230608076,0.375632703,0.098612368,0.999985158,0.327252328,0.420237213,0.335727453,0.999469519,0.259763867,0.55928719,-0.029987181,0.999985933,0.410983503,0.381627321,0.704764724,0.041993625,0.282996535,0.755608201,-0.35852927,0.988376498,0.474235684,0.372314483,1.027205229,0.045022178,0.297760159,0.960400581,-0.763889134,0.991454899,0.497141689,0.37236014,1.092521191,0.055246644,0.29385525,1.022568941,-0.807038784,0.984037161,0.487380117,0.390253663,1.060686231,0.058034163,0.30559811,1.013919115,-0.814274967,0.984184921,0.478052706,0.393839955,1.023960233,0.06036802,0.31164813,0.982378244,-0.773083985,0.985126078,0.603851676,0.427690029,0.115997434,0.998545468,0.588030398,0.488120198,-0.11596515,0.999600053,0.850524306,0.155700222,0.034092955,0.652112007,0.867403865,0.159302264,-0.195073783,0.98344934,0.9337883,0.588382185,0.093774192,0.542497098,0.962778926,0.642409861,-0.21412234,0.97765249,0.914710879,0.691335142,0.095235229,0.554889321,0.93959713,0.757630467,-0.212370306,0.962712944,1.035109282,0.675228298,0.05591058,0.514737129,1.09830296,0.768115163,-0.25613153,0.942596018,2.0
0.221424624,0.359974295,0.136022717,0.999989271,0.203634053,0.381765366,0.158032969,0.9999789,0.20409672,0.384961605,0.157691225,0.99997586,0.20456934,0.388139814,0.157335415,0.999979854,0.20173344,0.388775557,0.114586018,0.999990523,0.20103094,0.39746815,0.114569902,0.999991715,0.200487614,0.407340229,0.114683844,0.999991715,0.211629078,0.440207332,0.283526123,0.999988794,0.207337409,0.470610499,0.07870879,0.999993443,0.244357631,0.371030331,0.186394483,0.999961674,0.242666051,0.379881173,0.127268866,0.999979317,0.338145912,0.424938381,0.32183069,0.999252617,0.258131027,0.557773292,0.002024842,0.999982357,0.464221865,0.397928715,0.374044478,0.054228451,0.271465838,0.753167152,-0.281731576,0.988886476,0.561304867,0.389061511,0.31641072,0.05174334,0.301109433,0.938347042,-0.590749621,0.990036786,0.589697063,0.379604548,0.302839935,0.0603933,0.313197047,1.004958272,-0.63330698,0.982029736,0.592061102,0.394839704,0.259503692,0.063353561,0.320457935,0.989088774,-0.626552939,0.981413007,0.581096232,0.407263726,0.293791264,0.0631129,0.320861399,0.947710335,-0.591272295,0.981804788,0.601452887,0.296218514,0.119790338,0.999189556,0.585443556,0.319090009,-0.120004117,0.999808729,0.886043429,0.131419644,0.026094666,0.647649586,0.897654653,0.128198892,-0.255222172,0.992840171,0.947736144,0.597649336,0.064261839,0.612228632,0.969207764,0.642562807,-0.260084957,0.980255246,0.923187435,0.69220221,0.064683452,0.595564365,0.941430271,0.753178895,-0.257379085,0.963479221,1.054026604,0.692670882,0.03011873,0.611940265,1.094611406,0.788863361,-0.28639847,0.944282711,3.0
0.227847815,0.361920923,0.192252353,0.999983847,0.209373757,0.381603032,0.218484759,0.999968588,0.209759638,0.384375721,0.218180537,0.999969065,0.210153058,0.387305319,0.217828482,0.999969244,0.20688574,0.386831552,0.173906028,0.99998337,0.20556426,0.393742293,0.173984602,0.99998647,0.204350874,0.401685625,0.174008414,0.999984145,0.216564268,0.435644031,0.338850826,0.999981344,0.210823253,0.46332249,0.126970485,0.9999879,0.249569222,0.371940732,0.237840176,0.999937594,0.246839121,0.377481759,0.17695491,0.999962568,0.348521888,0.435979158,0.344440728,0.999194026,0.257569969,0.575816035,0.04404933,0.999981225,0.491171837,0.470079929,0.351288825,0.093426056,0.27873224,0.764262557,-0.223879665,0.989821196,0.586356223,0.440670222,0.266337931,0.04090124,0.312841475,0.944693506,-0.496553659,0.98714292,0.625087857,0.437910676,0.243844464,0.044469122,0.308817923,0.99144125,-0.532540083,0.975501001,0.623021245,0.44247219,0.202150851,0.045545369,0.328233749,0.967048705,-0.522844195,0.97447288,0.609017313,0.442892998,0.242609501,0.048648976,0.329776794,0.931022227,-0.494695663,0.974826694,0.601071715,0.293654472,0.110919818,0.999495566,0.562126756,0.306710571,-0.110808387,0.999896765,0.887062848,0.148177251,0.026485574,0.649791598,0.892235637,0.1358134,-0.256853044,0.996028543,0.960696876,0.613194823,0.03813874,0.669020653,0.971718609,0.639167249,-0.275657475,0.988497436,0.932046115,0.697522104,0.036354583,0.689564288,0.942451596,0.738254189,-0.272086203,0.983937562,1.058386445,0.685936332,-0.004778858,0.678339779,1.102205992,0.77576369,-0.30911696,0.966330707,4.0
